,Course Code,Course Overall - Mean,Enrolment,Response,Response Rate
0,MGMT5550,97.4,40,39,0.975
1,ISOM5100,95.9,52,37,0.711538461538
2,ISOM5020,95.7142857143,116,63,0.543103448276
3,ISOM5810,94.7989010989,118,91,0.771186440678
4,FINA5290,94.788372093,110,86,0.781818181818
5,ECON5140,94.2569230769,109,65,0.596330275229
6,ISOM5630,94.2,51,29,0.56862745098
7,ISOM5230,93.9,51,36,0.705882352941
8,ACCT5170,93.9,58,49,0.844827586207
9,ECON5200,93.5774390244,267,164,0.614232209738
10,ACCT5160,93.5,56,53,0.946428571429
11,ECON5130,93.0776119403,111,67,0.603603603604
12,FINA5220,92.9765625,91,64,0.703296703297
13,ECON6100S,92.7,48,24,0.5
14,ECON5280,92.48,111,65,0.585585585586
15,ACCT5150,91.7627906977,128,86,0.671875
16,ISOM3180,90.945,140,80,0.571428571429
17,ISOM5460,90.7,57,34,0.59649122807
18,ECON5100,90.6,129,71,0.550387596899
19,ISOM5620,90.3,51,36,0.705882352941
20,ISOM5520,90.0119402985,88,67,0.761363636364
21,ECON5110,88.7717105263,239,152,0.635983263598
22,ACCT5210,88.1882978723,116,94,0.810344827586
23,ISOM5701,86.7,59,31,0.525423728814
24,ISOM5270,86.2,104,68,0.653846153846
25,ECON3133,85.8,64,36,0.5625
26,FINA5120,85.7371428571,304,210,0.690789473684
27,FINA3203,85.6,174,96,0.551724137931
28,ECON2103,84.2,168,116,0.690476190476
29,ISOM3210,83.8183486239,197,109,0.553299492386
30,ACCT5630,83.8,58,53,0.913793103448
31,ECON3143,83.8,70,37,0.528571428571
32,FINA5360,83.8,70,37,0.528571428571
33,ACCT5220,82.5,58,57,0.98275862069
34,ACCT5640,82.4,58,46,0.793103448276
35,ISOM5700,81.8304054054,270,148,0.548148148148
36,ISOM5450,78.2,41,30,0.731707317073
37,ISOM5370,77.7454545455,91,55,0.604395604396
38,ISOM3230,77.7247524752,200,101,0.505
39,MGMT1110,77.5893939394,123,66,0.536585365854
40,MGMT4220,76.476119403,94,67,0.712765957447
41,ACCT5100,75.9917159763,279,169,0.605734767025
42,FINA5390,75.9,50,28,0.56
43,MARK3420,75.3074074074,159,81,0.509433962264
44,ECON3014,75.0,80,46,0.575
45,MGMT5780,75.0,42,24,0.571428571429
46,ISOM5720,75.0,55,37,0.672727272727
47,MGMT5230,74.4,122,80,0.655737704918
48,FINA3403,74.2871287129,124,101,0.814516129032
49,MGMT2110,73.7270491803,412,244,0.592233009709
50,ECON5030,73.0208955224,126,67,0.531746031746
51,MGMT3110,72.0268656716,120,67,0.558333333333
52,MARK3430,71.9923076923,94,65,0.691489361702
53,ACCT2010,71.593487699,1002,691,0.689620758483
54,ECON3334,71.5,104,57,0.548076923077
55,ECON2174,71.3,43,27,0.627906976744
56,ISOM5730,70.8,58,48,0.827586206897
57,ISOM2700,70.7388012618,634,317,0.5
58,ISOM2500,69.8134259259,384,216,0.5625
59,MGMT6520F,69.4,50,27,0.54
60,MARK2120,68.9395939086,325,197,0.606153846154
61,MGMT2130,68.7669291339,220,127,0.577272727273
62,FINA5210,68.3,174,106,0.609195402299
63,ACCT3030,67.8662337662,139,77,0.553956834532
64,ISOM5510,67.1359073359,417,259,0.621103117506
65,ECON2113,66.9878706199,541,371,0.685767097967
66,MGMT2010,66.9350119904,621,417,0.671497584541
67,FINA1303,65.8,148,100,0.675675675676
68,ECON2123,65.0522123894,576,339,0.588541666667
69,MARK5120,63.7185365854,356,205,0.575842696629
70,FINA2303,60.9638596491,525,285,0.542857142857
71,ISOM5290,57.7,57,38,0.666666666667
72,ISOM3370,56.3,54,28,0.518518518519
