,Course Code,Course Overall - Mean,Enrolment,Response,Response Rate
0,MECH3640,99.2,60,33,0.55
1,COMP5331,95.6,65,39,0.6
2,COMP3721,90.1,57,38,0.666666666667
3,COMP5711,90.0,54,30,0.555555555556
4,CIVL5220,88.2,53,35,0.660377358491
5,COMP2012,87.7,116,61,0.525862068966
6,MECH1907,87.3,81,60,0.740740740741
7,COMP2711H,85.9,41,23,0.560975609756
8,MECH3300,85.4,69,36,0.521739130435
9,COMP1022Q,83.4804347826,400,276,0.69
10,CIVL6060T,82.9,46,24,0.521739130435
11,COMP1021,80.5655555556,334,180,0.538922155689
12,BIEN5040,79.6,49,29,0.591836734694
13,ELEC1100,78.7445255474,226,137,0.606194690265
14,CENG1000,77.9,131,103,0.786259541985
15,COMP1001,77.3,51,31,0.607843137255
16,CIVL6050N,76.9,90,59,0.655555555556
17,CENG3230,76.4,85,53,0.623529411765
18,COMP2711,76.0385093168,293,161,0.549488054608
19,IELM2010,75.5,105,55,0.52380952381
20,ELEC6950A,74.4,47,43,0.914893617021
21,CIVL4470,74.3,49,38,0.775510204082
22,CENG2110,73.4,91,46,0.505494505495
23,CIVL1100,72.8,170,122,0.717647058824
24,COMP1022P,72.5223404255,291,188,0.646048109966
25,MECH6090M,69.7,97,71,0.731958762887
26,CIVL1140,69.2,61,43,0.704918032787
27,COMP3511,67.6,70,37,0.528571428571
28,ELEC3400,67.1,111,60,0.540540540541
29,COMP3211,66.7,79,42,0.53164556962
30,ENGG1100,64.8,60,37,0.616666666667
31,CENG1600,62.1,124,90,0.725806451613
32,MECH1906,57.5689922481,164,129,0.786585365854
33,CENG3910,57.3268292683,78,41,0.525641025641
34,COMP2012H,56.5,54,27,0.5
