,Course Code,Course Overall - Mean,Enrolment,Response,Response Rate
0,HMMA5001,92.8,43,37,0.860465116279
1,SOSC3110,90.5,41,28,0.682926829268
2,SOSC1150,85.8,120,99,0.825
3,SOSC2130,84.1,70,44,0.628571428571
4,SOSC2740,83.0,110,68,0.618181818182
5,SOSC3520,80.7,78,47,0.602564102564
6,MILE5001,80.6,48,39,0.8125
7,MILE5002,80.0,48,34,0.708333333333
8,HUMA1001A,79.8,400,205,0.5125
9,HUMA1300,78.4,66,44,0.666666666667
10,HUMA1920,77.5,93,58,0.623655913978
11,SOSC1200,77.4,46,31,0.673913043478
12,HUMA1430,77.3,45,31,0.688888888889
13,HUMA2240,76.4,57,34,0.59649122807
14,SOSC1350,75.7,119,69,0.579831932773
15,SOSC5110,74.2,51,31,0.607843137255
16,HUMA1102,71.1537414966,281,147,0.523131672598
17,HUMA1810,67.0,94,50,0.531914893617
18,HUMA2680,67.0,96,55,0.572916666667
19,HUMA1440,66.4,117,69,0.589743589744
20,HUMA2621,63.8,50,28,0.56
21,HUMA1000B,62.3,379,200,0.527704485488
22,HUMA1000A,62.2,392,228,0.581632653061
23,SOSC2290,50.7,72,36,0.5
