,Course Code,Course Overall - Mean,Enrolment,Response,Response Rate
0,MAFS5110,97.7,128,66,0.515625
1,MAFS5010,95.7,124,63,0.508064516129
2,PHYS1312,94.1,56,50,0.892857142857
3,MAFS5140,93.8,99,51,0.515151515152
4,CHMS5020,91.7,40,24,0.6
5,MAFS5030,90.6,111,56,0.504504504505
6,CHMS5010,89.2,51,29,0.56862745098
7,MATH1023,88.7,108,92,0.851851851852
8,CHMS5040,88.2,50,28,0.56
9,MATH2131,85.0,49,29,0.591836734694
10,LIFS6113A,84.7,45,26,0.577777777778
11,MATH2421,84.5,71,36,0.507042253521
12,CHEM1004,80.2,330,219,0.663636363636
13,LIFS1902,79.0,295,191,0.647457627119
14,SCIE1130,76.6,48,30,0.625
15,PHYS1002,75.8,188,94,0.5
16,PHYS1113,75.0314285714,92,70,0.760869565217
17,MATH2011,69.6598705502,592,309,0.521959459459
18,CHEM1010,69.0,67,42,0.626865671642
19,PHYS1112,68.9166297118,680,451,0.663235294118
20,PHYS1111,68.6,64,38,0.59375
21,MATH1013,66.1013715711,1123,802,0.714158504007
22,CHEM1020,63.9,395,272,0.688607594937
23,SCIE1110,62.3,46,26,0.565217391304
24,MATH1003,61.4390029326,524,341,0.650763358779
25,PHYS1001,58.7,338,179,0.529585798817
26,LIFS1901,57.6,206,124,0.601941747573
27,MATH1012,56.4446564885,423,262,0.61938534279
