line,text
1,A course of memorization and regurgitation of information.
2,"You would learn what pi-donors (weak-field ligands), pi-acceptors (strong-field ligands) and sigma donors are; how to determine a transition metal complex's stability by calculating its splitting energy and hence its structure (tetrahedral? square planar? octahedral?);"
3,how jahn-teller effect distorts a complex and affects its d-orbitals' splitting; organometallics (cyclo???enyl ligands);
4,"how catalysts work (oxidative addition, reductive elimination, migratory insertion, cross-coupling);"
5,main group elements; physical & chemical properties with respect to their kinetic/thermodynamic stability (poor orbital overlap? bond strength? vacant d-orbital? 2/3p-2/3p interaction? 2p pi-3d pi interaction?);
6,3-centre-2-electron-bond (B2H6) < 3-centre-4-electron bond ((AlCl3)2 etc.);
7,in what forms molecules of different main group elements would exist (dimer? polymer? covalent structure? ionic structure?)......
8,"Too many things to recite. I can't remember all and do not bother to chase them out from my former course list hidden on Canvas to save leisure time.One of the best professors I have ever seen. Even though the teaching pace is sometimes too fast, it's still very clear and comprehensible. He is really eager to dispel any doubt you have and fairly friendly to us.  "
9,"So many iPRS questions during lessons to test your understanding, asked halfway every chapter, before recess and when every lesson ends.Content is very well designed in my opinion (I feel that I had learnt a lot). Content covers mostly transition elements and organometallic chemistry (both transition and main group organometallics). Various explanations on observed properties and phenomena are sought via concepts related to crystal field theory, MO, thermodynamics and kinetics. Notable topics include catalytic mechanism of transition metal catalyst and syntheses/reactions of a wide variety of compounds explained in terms of various theory (These are the topics that make me feel that I finally can do things which a chemist is supposed to be capable of).Very good teacher indeed. There is really not a single thing I can nitpick him.The principle of cosmetic product e.g.shampoo, whitening product,sunscreen,etc."
10,Most of the content are related to organic chemistry.
11,"Apart from understanding the principle, also have to memorize quite a lot things to interpret the functions of cosmetic productsAlthough the content is quite complicated, the professor will explain clearly(sometimes a little bit fast as you have to take notes to help you understand the process)"
12,"Dennis is friendly, you can ask lots of questions after lessonsContent mostly includes the secondary school physics and some basic knowledge of chemistry. There are also some knowledge from A-level chemistry but do no worry as they are easy to understand if you go through all the lecture video.Professor will give brief revision and exercise in the beginning of each class, if you can do all the exercises in the power point there will not be any problems in your final and midterm. There are two assignments which are worth to do. 50% of final, 30% of midterm, 20% of assignmentsCh2-3: First &Second Law of Thermodynamics (AL Phys)"
13,Ch4: Physical Transformations of Pure Substances
14,Ch5: Simple Mixtures
15,Ch6: Chemical Equilibrium
16,Ch15-16: Equilibrium Statistical Thermodynamics (F**king HARD)Direct reading from ppts every lesson. Tone quite weird.
17,Font of the alphabets used in ppts make them too thickly crowded.
18,"There are virtually NO space lines between paragraphs, causing so much dizziness to read through them."
19,"I don't question his professionalism, nor am I qualified for such, but I would strongly advise self-learning while avoiding class absence. They have to be combined though, unless you afford to fail and defer.Teaching topics:"
20,1. First Law of Thermodynamics [Ch 2]
21,2. Second Law of Thermodynamics [Ch 3]
22,3. Physical Transformations of Pure Substances [Ch 4]
23,4. Simple Mixtures [Ch 5]
24,5. Chemical Equilibrium [Ch 6]
25,"6. Equilibrium Statistical Thermodynamics [Ch 15,16]"
26,"The course is easy, statistical thermodynamics part should be taught more to deepen our understanding in stat. thermo.His teaching is quite boring."
27,Self-study is useful for understanding the thermodynamics deeply compared to his lecture.Description:
28,This 3-credit course is the Part-I of  ¡°Physical Chemistry¡± sub-curriculum  for students majoring inchemistry. It covers  (a) The basic principles and applications of equilibrium thermodynamics; and(b)  The equilibrium statistical thermodynamics
29,"Textbook:  ¡°Physical Chemistry¡±,  P. W. Atkins and J. de Paula, 9th edition (Oxford, 2011)       Coverage:   Fundamentals and Part I: Equilibrium (Chap 2 ¨C 6, 15/16) "
30,Prerequisites:   (a) AL/AS chemistry; and (b) One year of calculus (both one-variable and multi-variable)
31,Midterm Exam: 50%
32,"(Chapter 2, 3, 4, 5)"
33,Final Exam: 50%
34,"(Chapter 5, 6, 15/16)  Not clear enough. Don't rely on lessons."
35,"Mostly self-studying.Simple basic chemistry concepts are covered. ( atomic structure and periodicity, chemical bonding and molecular structure, basic properties of gases, liquids and solids, chemical kinetics, chemical equilibrium, and basic organic and biological molecules)He is one of the best professor that I ever met. His explanation is very clear and if you do not understand anything, he is willing to help you out during the office hour.Simple basic chemistry concepts"
36,"If you have a good grade in chem 1004,"
37,you can also get a good grade in this course
38,"It is similar to dse chem such as atomic structure and periodicity, chemical bonding and molecular structure...Very good"
39,Emily Tsang  is very fun and beautiful.
40,But sometime she speak so fast!!Chapter 1: Chemical Foundations
41,Chapter 2: Atomic Structure and Periodicity        (key chapter)
42,Chapter 3: Atoms to Molecules
43,Chapter 4: Bonding: General Concepts
44,--------------
45,Chapter 5: Molecular Structure and Orbitals       (key chapter)
46,Chapter 6: Chemical Energy
47,Chapter 7: Gasesthe lecture note (student version ) uploaded in canvas are with blanks.
48,"To fill in the blanks,"
49,"go to her lesson ,  ask your friends ,  or read textbook."
50,the review question in the beginning of the lessons are quite useful.
51,Boring.Chapter 1: Chemical Foundations
52,Chapter 2: Atomic Structure and Periodicity        (key chapter)
53,Chapter 3: Atoms to Molecules
54,Chapter 4: Bonding: General Concepts
55,--------------
56,Chapter 5: Molecular Structure and Orbitals       (key chapter)
57,Chapter 6: Chemical Energy
58,Chapter 7: Gasesthe lecture note (student version ) uploaded in canvas are with blanks.
59,"To fill in the blanks,"
60,"go to her lesson ,  ask your friends ,  or read textbook."
61,the review question in the beginning of the lessons are quite useful.
62,"Boring.The content is interesting. It links with chem1004 and combined science .So if you think more about the content , you would be lighted.I just skipped almost all lessons.....But i heard some of my friends said that emily's voice is so good.good grade"
63,midterm above 0.8sd
64,final above 1.3sd
65,quizes below mean
66,then A-
67,mean is around b-midterm all mc
68,final 50%mc 50%LQ
69,"and the LQ is extremely easy,given that you have revised adequately."
70,"2quizes with 15 mc each( 90mins) (more than enough time)Useful content. But most of them is the same with high school. Maybe you will find it too simple. But for students who haven't learnt chemistry, the content is just suitable.LI, Xiaoyuan is very responsible and teaches very well. He seldom ask students questions in class but he keeps talking very fast so that you need to pay attention.Not too difficult if you have taken chemistry class in high school before."
71,0. Measurement and Calculations in Chemistry
72,1. Chemical Foundations
73,2. Atomic Structure and Periodicity: many Qs were based on this chapter for the midterms.
74,3. Atoms to Molecules
75,4. Bonding - General Concepts
76,5. Molecular Structure and Orbitals: many short answer Qs were based on this chapter for the finals.
77,6. Chemical Energy
78,7. Gases
79,8. Liquids and Solids: did not have enough time to cover this topic.Clear teaching with good pronunciation. May be a bit boring for some of the contents.
80,"The professor uploads student version PPTs with blanks here and there, so that the students take notes & fill in blanks in the student version PPTs during the lectures.The content is mostly aligned with chem1020, except the last 1-2 chapters skipped. This course is for students didn't study chem in their high school or who studied combined science in chemistry( I am the latter one).  The content is mostly irrelevant to the chem taught in high school as the first half (eg. orbital shapes) are from physics actually, but without the math. If you are interested in knowing the mathematical derivation of the orbital, I recommend phys2022(modern physics).I can feel that Professor is passionate in teaching, though his teaching is not fantastic, I would say, as his voice cannot attract the attention from students. Also I think he only teaches the content slides by slides without extra explanation or stories related to the content. This makes the lectures boring.Experiment 1: Identification of Polymers"
81,Experiment 2: Forensic Examination of Pen Inks: Paper Chromatography
82,Experiment 3: Emission Spectrum of Atomic Hydrogen
83,Experiment 4: Determination of Iron Content by Redox Titration
84,Experiment 5: Determination of Boiling Point of An Unknown Liquid
85,Experiment 6: Hess¡¯s Law: Calculation of Heat of Neutralization between Strong Acid and Strong Base
86,Experiment 7: Molar Mass of a Volatile Liquid
87,Experiment 8: Determination of the Empirical Formula by Job¡¯s Method
88,Experiment 9: Boyle¡¯s Law
89,Basically most of them you have done it in high school and are really easy.To be honest very little teaching is required but I think the contents are explained well enough.
90,"TAs/IAs are friendly and nice. They really want to go home as soon as possible though, a little impatient. But just ask them any questions when you encounter problem, they are very helpful and are really good at helping with any problems you might have.I think the content is just so-so. Some of the experiments are interesting."
91,Experiment 1: Identification of Polymers
92,Experiment 2: Forensic Examination of Pen Inks: Paper Chromatography
93,Experiment 3: Emission Spectrum of Atomic Hydrogen
94,Experiment 4: Determination of Iron Content by Redox Titration
95,Experiment 5: Determination of Boiling Point of An Unknown Liquid
96,Experiment 6: Hess¡¯s Law: Calculation of Heat of Neutralization between Strong Acid and Strong Base
97,Experiment 7: Molar Mass of a Volatile Liquid
98,Experiment 8: Determination of the Empirical Formula by Job¡¯s Method
99,"Experiment 9: Boyle¡¯s LawThe instructor has a little accent, but I think his explanation is ok."
100,"I think all of TA(teaching assistant), IA(instructor assistant),etc. are very kind. But you may find some of them not so ""friendly"" at first. Take it easy! Ask them whenever you are confused.As this is a general chemistry lab, do not expect the experiments are interesting. To be precise, some of them may have appeared in high school, which does not make the content of this lab good. Do not expect to learn much from this lab."
