line,text
1,Basics of Android development:
2,"1. Introduction to the Android SDK and development environment, Setting up the Android Studio environment."
3,"2. Hello World Application, Activity Basics, UI Design: Widgets, UI Events, Event Listeners."
4,"3. Activity lifecycle, Intents, UI Design: Widgets and Layouts, ListView."
5,4. 2D graphics: Canvas/Drawing into a view.
6,5. Multimedia: Audio playback and Audio Manager.
7,6. Android NetworkingClear explanation of the Android development process and concepts. The TA Mr. Luke Lo is very helpful in answering your questions online and offline.No CommentHard to understand the accent. I need to read the YouTube subtitle.Only pass or fail.
8,"5 assignments (20 scores each), no exams."
9,"Need to gain 60% in each assignment. If you cannot get 60% in any 1 assignment, then sorry~To me, the workload is much more heavier than COMP 1029C (XoX) It would be better to know java language before studying this course."
10,"I need a whole day to finish 1 assignment but this is a 1 credit course. (Total = 5 assignments, 1 assignment each week)"
11,"But if you can understand the accent and if your computer is fast, the workload is very light."
12,"If your computer has only 4GB ram(as same as my notebook), then I need to say good luck to you. For a simple and short java code, the emulator needs more than an hour to run!!!!!!!!!!!!! It was very TERRIBLE! That's why I need a whole day to finish it (including watching the lecture videos)."
13,"But still, the course is worth learning.Even if reg this course in fall or spring sem, it still only study within one month and have the final exam after one month.The videos are short but kinda detail. Better look through those comment in the source code.It's only pass or fail."
14,"Final exam taking in canvas, but need a access code so still have to take the exam with TA/ prof. 6 short questions, 10 points each. Open-book and can access Canvas while taking pass, just need to gain 40% marks in the final.4 assignments in total, one assignment per week, submit through canvas and checking by program. Those assignments are programming applications. Most of the code is provided in source code, which already taught in exercises. Only few lines of code is need to be done.The content is very basic and fundamental so it is quite easy to follow. However, there are many online tutorials or videos that you can follow to achieve the same thing. I feel like the content of this course is a bit lackluster and more could be taught for this course.The TAs are all very helpful and experience in Android programming. They will help you on any part of the lab.COMP1029A lasts for just a month and gets over before the midterm week starts. Has weekly fill in the blanks (complete the code) assignments.Video lessons on canvas. All the topics are explained in detail."
15,"Chapter wise quizzes are also uploaded on canvas to help one revise the concepts.It's a Pass/Fail course so grading is not a problem as long as you submit all the assignments and show up for the final exam.Very light workload. Little attention to be given towards the course just for the assignments and preparing for the final exam.Detailed and well-explained. But conceptually useless for a beginner. You will be able to do everything by following the videos but will have to build the understanding on your own. (Recommended to do Java (and XML) beforehand if you want the course to add value)Professor was good. Well, he has a slew of YouTube videos, regularly updated, which are clear, concise and satisfactory. Easy to understand and slow. (Accent may appear a bit heavy in the beginning.) Do not worry about SDK installation since labs have it pre-installed."
16,"(e.g: )This course teaches you methods of modelling software using different techniques. It also ""teaches"" you how to use C#/ASP .NET to develop an MVC web app.In-class teaching is pretty good. Concepts are easy to learn. However, a lot of the content is on the slides and can be easily crammed in a day."
17,"Each lab has like 10-20 pages of notes to read before you can actually do the lab work. The best way to learn is to turn to the person next to you and ask, ""How the fuck do you do this?""UML, Class diagram, MVC, stuff. Go google it software engineer."
