line,text
1,"At the first stage of the class ,he would introduce some basics stuff about photography and how to use different functions about camera. Then we will practice during the class outside the classroom.  After we handed in our homework (5 photos we took during field trips), we had to share to everyone. Though it is not serious presentation that we just had to speak on our seats, it made the class boring! Moreover, the instructor allowed people to speak in Cantonese. Therefore you won't understand what they are talking about.He is a nice photographer who would answer your questions patiently. Though sometimes he would speak in Cantonese to make locals understand easily, you can just raise your and say you don't understand. He would explain in English for you.The class takes shape much like a generic drama class, with a focus on practically trying out stuff. As it is just a 1 credit course, it just briefly touches upon a lot of ideas about drama an stage movement but doesn't explore them in any depth."
2,"Attendance is pretty much mandatory and ties directly to your grade.Excellent. She has a very hands on approach to teaching the class, and really promotes interaction between classmates. With the casual atmosphere maintained in class, it feels like you are just hanging out with friends rather than taking a course.A few notes in the LMES that helped give a structure to the practical http://learning.To quote, ""the stories should follow a clearly defined structure from (inception and cause) to the (climax and underlying message)"""
3,"Every class covered a new theme and was more hands-on and interactive than theoretical. It focused on creativity, body language, facial expressions and on-the-feet thinking.Was a wonderful experience. She was expressive and elaborate in explanations. Two extra lessons were organised for further practice. Everyone was given personal attention and feedback which went a long way in self improvement.The first two classes are introduction to some types of puppet, she only READ the ppt. The rest of the classes are totally useless, we just did our own paper cutting work. Don't expect to learn anything, you already know everything from your commonsense. The final showing is a shadow puppet performance with the script of Alice in Wonderland(the teacher decided the script). It was so boring.The instructor doesnt know how to manage time. Also, no useful feedbacks were given to students. We just did our own thing during every class.Basic Graphic Design principles."
4,"Usage of points, lines, shapes, colours etc"
5,"Elements of contrast, focus, repetition & spacing."
6,Small introduction to typography and layout design.
7,"Final project to implement all that you've learned into a poster design for a campaign (you'll need to present your initial idea, progress presentation, make the poster itself, submit a group project report and record all you've done in a logbook)"
8,"Also includes software workshop on Photoshop and Illustrator, not compulsory if you already know them."
9,"There is also a lesson where a guest speaker, who is himself a graphic designer, came and shared his experience in working in the field, giving us a glimpse of how graphic design works in real life.Alice is a very nice tutor. Her tone is comfortable and at the same time encouraging to students."
10,She is very experienced in the field of Design Education and has been affiliated to HKPU Design School for quite some time.
11,"Since the class is small, she is always willing to give us useful comments on our draft designs. Some may find it critical and nitpicking, but in the field of Design, taking critics is a major part of your job, so get used to it.I entered this course because I thought I would have been able to learn more computer-related design skills such as Adobe Photoshop and other design tools. Surprisingly, it was mostly about theories in graphic design and the only time we got to learn design programs (Adobe Photoshop and Illustrator) were in 3 supplementary workshops after the classes. So if you are looking for a class to learn more about design programs, this probably isn't the course for you.Alice overall is an okay instructor, but be prepared to jot down notes in this class, because her slides are picture-heavy and thus she says she cannot give it to us due to the pictures' copyrights."
12,Personally I feel she's a little forceful on opinions when this is supposed to be a more 'creative' class and that she might be prejudiced to those who can draw reasonably well. She does tend to miss people out during discussions and end discussions so it's probably better to be more proactive in discussions as it seems to affect class participation grades greatly.The prof is very nice and interactive.
13,She will do a demo in class one time for each topics and tell u the technique used in painting and coloring briefly. However u have to practice a lot to copy her technique.
14,When u are practicing in class she will come to guide and correct each person.  The prof also tries to help us improve the painting every time before submitting the work.
15,"Note that the teaching and all the materials are in Chinese.  This course might not be suitable for native english speakersThe instructor is nice and punctual. And she is enthusiastic with advising students with their work which I appreciate. It seems she also teaches Chinese painting II. The course is conducted in Cantonese so it's actually difficult for non-local students...All lectures are conducted in cantonese, which is really great. Instructor spent time with students for individual advising, telling each of us what to improve."
