time	L1	L2	L3	L4
2018-01-25 09:00:00	0	0	0	0
2018-01-25 09:00:00	0	0	0	0
2018-01-25 09:00:00	0	0	0	0
2018-01-25 09:00:00	0	0	0	0
2018-01-25 09:30:00	0	0	0	0
2018-01-25 09:30:00	0	0	0	0
2018-01-25 09:30:00	0	0	0	0
2018-01-25 09:30:00	0	0	0	0
2018-01-25 10:00:00	0	0	0	0
2018-01-25 10:00:00	0	0	0	0
2018-01-25 10:00:00	0	0	0	0
2018-01-25 10:00:00	0	0	0	0
2018-01-25 10:30:00	0	0	0	0
2018-01-25 10:30:00	0	0	0	0
2018-01-25 10:30:00	0	0	0	0
2018-01-25 10:30:00	0	0	0	0
2018-01-25 11:00:00	0	0	0	0
2018-01-25 11:00:00	0	0	0	0
2018-01-25 11:00:00	0	0	0	0
2018-01-25 11:00:00	0	0	0	0
2018-01-25 11:30:00	0	0	0	0
2018-01-25 11:30:00	0	0	0	0
2018-01-25 11:30:00	0	0	0	0
2018-01-25 11:30:00	0	0	0	0
2018-01-25 12:00:00	0	0	0	0
2018-01-25 12:00:00	0	0	0	0
2018-01-25 12:00:00	0	0	0	0
2018-01-25 12:00:00	0	0	0	0
2018-01-25 12:30:00	0	0	0	0
2018-01-25 12:30:00	0	0	0	0
2018-01-25 12:30:00	0	0	0	0
2018-01-25 12:30:00	0	0	0	0
2018-01-25 13:00:00	0	0	0	0
2018-01-25 13:00:00	0	0	0	0
2018-01-25 13:00:00	0	0	0	0
2018-01-25 13:00:00	0	0	0	0
2018-01-25 13:30:00	0	0	0	0
2018-01-25 13:30:00	0	0	0	0
2018-01-25 13:30:00	0	0	0	0
2018-01-25 13:30:00	0	0	0	0
2018-01-25 14:00:00	0	0	0	0
2018-01-25 14:00:00	0	0	0	0
2018-01-25 14:00:00	0	0	0	0
2018-01-25 14:00:00	0	0	0	0
2018-01-25 14:30:00	0	0	0	0
2018-01-25 14:30:00	0	0	0	0
2018-01-25 14:30:00	0	0	0	0
2018-01-25 14:30:00	0	0	0	0
2018-01-25 15:00:00	0	2	0	0
2018-01-25 15:00:00	0	2	0	0
2018-01-25 15:00:00	0	2	0	0
2018-01-25 15:00:00	0	2	0	0
2018-01-25 15:30:00	0	0	1	1
2018-01-25 15:30:00	0	0	1	1
2018-01-25 15:30:00	0	0	1	1
2018-01-25 15:30:00	0	0	1	1
2018-01-25 16:00:00	7	4	1	14
2018-01-25 16:00:00	7	4	1	14
2018-01-25 16:00:00	7	4	1	14
2018-01-25 16:00:00	7	4	1	14
2018-01-25 16:30:00	6	1	2	4
2018-01-25 16:30:00	6	1	2	4
2018-01-25 16:30:00	6	1	2	4
2018-01-25 16:30:00	6	1	2	4
2018-01-25 17:00:00	13	4	7	13
2018-01-25 17:00:00	13	4	7	13
2018-01-25 17:00:00	13	4	7	13
2018-01-25 17:00:00	13	4	7	13
2018-01-25 17:30:00	6	1	4	6
2018-01-25 17:30:00	6	1	4	6
2018-01-25 17:30:00	6	1	4	6
2018-01-25 17:30:00	6	1	4	6
2018-01-25 20:30:00	5	2	4	6
2018-01-25 20:30:00	5	2	4	6
2018-01-25 20:30:00	5	2	4	6
2018-01-25 20:30:00	5	2	4	6
2018-01-25 21:00:00	5	2	4	6
2018-01-25 21:00:00	5	2	4	6
2018-01-25 21:00:00	5	2	4	6
