time	L1
2018-01-25 09:00:00	0
2018-01-25 09:30:00	0
2018-01-25 10:00:00	0
2018-01-25 10:30:00	0
2018-01-25 11:00:00	0
2018-01-25 11:30:00	0
2018-01-25 12:00:00	0
2018-01-25 12:30:00	0
2018-01-25 13:00:00	0
2018-01-25 13:30:00	0
2018-01-25 14:00:00	12
2018-01-25 14:30:00	24
2018-01-25 15:00:00	122
2018-01-25 15:30:00	119
2018-01-25 16:00:00	184
2018-01-25 16:30:00	185
2018-01-25 17:00:00	246
2018-01-25 17:30:00	245
2018-01-25 20:30:00	246
2018-01-25 21:00:00	246
2018-01-25 21:30:00	246
2018-01-25 22:00:00	246
2018-01-25 22:30:00	246
2018-01-25 23:00:00	244
2018-01-25 23:30:00	244
2018-01-26 00:00:00	244
2018-01-26 00:30:00	243
2018-01-26 01:00:00	243
2018-01-26 01:30:00	242
2018-01-26 02:00:00	243
2018-01-26 02:30:00	243
2018-01-26 03:00:00	243
2018-01-26 03:30:00	244
2018-01-26 04:00:00	245
2018-01-26 04:30:00	245
2018-01-26 05:00:00	246
2018-01-26 05:30:00	246
2018-01-26 06:00:00	246
2018-01-26 06:30:00	246
2018-01-26 07:00:00	246
2018-01-26 07:30:00	246
2018-01-26 09:30:00	246
2018-01-26 10:00:00	291
2018-01-26 10:30:00	290
2018-01-26 11:00:00	324
2018-01-26 11:30:00	327
2018-01-26 12:00:00	375
2018-01-26 12:30:00	373
2018-01-26 13:00:00	414
2018-01-26 13:30:00	416
2018-01-26 16:00:00	544
2018-01-26 16:30:00	543
2018-01-26 17:00:00	591
2018-01-26 17:30:00	595
2018-01-26 18:00:00	593
2018-01-26 18:30:00	592
2018-01-26 19:00:00	589
2018-01-26 19:30:00	589
2018-01-26 20:00:00	588
2018-01-26 20:30:00	588
2018-01-26 21:00:00	587
2018-01-26 22:00:00	586
2018-01-26 22:30:00	585
2018-01-26 23:00:00	585
2018-01-26 23:30:00	586
2018-01-27 00:00:00	585
2018-01-27 00:30:00	585
2018-01-27 01:00:00	585
2018-01-27 01:30:00	585
2018-01-27 02:00:00	585
2018-01-27 02:30:00	588
2018-01-27 03:00:00	588
2018-01-27 03:30:00	587
2018-01-27 04:00:00	587
2018-01-27 04:30:00	587
2018-01-27 05:00:00	587
